StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,QID21,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q11,Q12,Q13,Q14,Q15,Q16,Q17
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,What is your gender ?,Which pair of sneakers are you more likely to purchase?,Which sneaker would you pay 20% more for if made with premium materials?,Which sneaker would you be more likely to pre-order or wait in line for?,"If you knew one of these sneakers was always available while the other had limited stock temporarily, which would you prefer?","If both sneakers were priced differently, which one would you buy at the following price points?","If both sneakers increased in value, which one would you be more likely to resell?","If you had to choose between these sneakers at the same price, which would you pick?",Which pair of sneakers are you more likely to purchase?,Which sneaker would you pay 20% more for if made with premium materials?,Which sneaker would you be more likely to pre-order or wait in line for?,"If you knew one of these sneakers was always available while the other had limited stock temporarily, which would you prefer?","If both sneakers were priced differently, which one would you buy at the following price points?","If both sneakers increased in value, which one would you be more likely to resell?","If you had to choose between these sneakers at the same price, which would you pick?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID21""}","{""ImportId"":""QID6""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID3""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}"
2/26/25 12:17,2/26/25 12:17,Survey Preview,100,0,TRUE,2/26/25 12:17,R_7mVq1xhHO1fipwd,preview,EN,,,,,,,,,,,,,,,
2/26/25 12:20,2/26/25 12:20,Survey Preview,100,0,TRUE,2/26/25 12:20,R_7jcwc3SJNiDyOdM,preview,EN,,,,,,,,,,,,,,,
2/26/25 12:23,2/26/25 12:23,Survey Preview,100,0,TRUE,2/26/25 12:23,R_7qatSt57ojfK9nX,preview,EN,,,,,,,,,,,,,,,
2/26/25 12:25,2/26/25 12:25,Survey Preview,100,0,TRUE,2/26/25 12:25,R_7uFmHxBQAYnJ14d,preview,EN,,,,,,,,,,,,,,,
2/26/25 12:25,2/26/25 12:25,Survey Preview,100,0,TRUE,2/26/25 12:25,R_7mekcaN57EdXXCO,preview,EN,,,,,,,,,,,,,,,
2/26/25 12:29,2/26/25 12:29,Survey Preview,100,0,TRUE,2/26/25 12:29,R_7ZHKU6HiF9o1CxX,preview,EN,,,,,,,,,,,,,,,
2/26/25 12:30,2/26/25 12:31,Survey Preview,100,16,TRUE,2/26/25 12:31,R_7iJy5VTgnXVHrMM,preview,EN,,,,,,,,,,,,,,,
2/26/25 12:31,2/26/25 12:31,Survey Preview,100,8,TRUE,2/26/25 12:31,R_7qiSCXUMdVNdmuJ,preview,EN,,,,,,,,,,,,,,,
